Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L07-Q001,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Multiple Choice,Which word is a naming word?,Choose one answer.,run,jump,cat,blue,cat,Cat names an animal.,"A naming word names a person, place, or thing.",Listen carefully. Which word is a naming word?,english-card,"Cards for run, jump, cat, blue with cat picture.",Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q002,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Multiple Choice,Which word is an action word?,Choose one answer.,book,run,apple,red,run,Run is an action.,An action word tells what someone does.,Listen carefully. Which word is an action word?,english-card,A child running beside word cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q003,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Multiple Choice,Choose the correct phrase.,Choose one answer.,a apple,an apple,a egg,an cat,an apple,We use an before apple.,Use an before a vowel sound.,Listen carefully. Choose the correct phrase.,english-card,Apple picture with a/an cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q004,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Multiple Choice,Choose the plural word for more than one book.,Choose one answer.,book,books,bookes,book's,books,More than one book is books.,Add s for many simple words.,Listen carefully. Choose the plural word for more than one book.,english-card,One book and two books picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q005,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Multiple Choice,Which sentence has a full stop?,Choose one answer.,I see a cat,I see a cat.,"I see a cat,",I see a cat:,I see a cat.,The full stop is the dot at the end.,Look at the end mark.,Listen carefully. Which sentence has a full stop?,english-card,Sentence ending cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q006,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Multiple Choice,Which word should be capital at the start?,Choose one answer.,i,cat,run,blue,i,I is always capital when it means me.,The word I is special.,Listen carefully. Which word should be capital at the start?,english-card,Sentence start card blank see a dog.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q007,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Multiple Choice,Which word describes a ball?,Choose one answer.,round,jump,cat,eat,round,Round describes the ball.,Describing words tell what something is like.,Listen carefully. Which word describes a ball?,english-card,Round ball picture and word choices.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q008,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Match Pairs,Match grammar words to examples.,Match each item to its partner.,naming word = cat,action word = run,describing word = red,,naming word = cat; action word = run; describing word = red,"These pairs match: naming word = cat, action word = run, describing word = red.",Match one pair at a time.,Listen carefully. Match grammar words to examples.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q009,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Match Pairs,Match one and many.,Match each item to its partner.,book = books,cat = cats,pen = pens,,book = books; cat = cats; pen = pens,"These pairs match: book = books, cat = cats, pen = pens.",Match one pair at a time.,Listen carefully. Match one and many.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L07-Q010,English,1,forest-world,7,Grammar Basics,Recognise simple nouns and verbs.,KSSR Year 1 English: use basic grammar forms in simple oral and written language.,"Cambridge Primary English Stage 1: begin using simple grammar, punctuation, and sentence conventions.",Match Pairs,Match articles to words.,Match each item to its partner.,a = cat,an = apple,an = egg,,a = cat; an = apple; an = egg,"These pairs match: a = cat, an = apple, an = egg.",Match one pair at a time.,Listen carefully. Match articles to words.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
