Question ID,Question Pool Version,Status,Subject,Year,World,Level,Topic,Subtopic,Learning Objective,Difficulty,Question Type,Question,Visual Object,Visual Description,Option A,Option B,Option C,Option D,Correct Answer,Step 1,Step 2,Step 3,Final Explanation,LearnBot Tip,Assessment Eligible,Curriculum Alignment,Estimated Time (Seconds),Visual Asset Required,Voice Script,Reviewer,Review Status,Review Date,Version Notes
FW-Y1-L08-Q001,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Counting review,Review counting objects up to 10.,Easy,Multiple Choice,Count the apples. How many apples are there?,apple,Show exactly 2 apples in a clear forest scene.,1,2,3,,2,Look at the objects.,Count each apple one by one.,The total is 2.,The correct answer is 2.,Point to each apple once as you count.,Yes,Both,25,Yes,Let's solve it together. Look at the objects. Count each apple one by one. The total is 2.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q002,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Counting review,Review counting objects up to 10.,Easy,Multiple Choice,Count the stars. How many stars are there?,star,Show exactly 3 stars in a clear forest scene.,2,3,4,,3,Look at the objects.,Count each star one by one.,The total is 3.,The correct answer is 3.,Point to each star once as you count.,Yes,Both,25,Yes,Let's solve it together. Look at the objects. Count each star one by one. The total is 3.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q003,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Counting review,Review counting objects up to 10.,Easy,Multiple Choice,Count the ducks. How many ducks are there?,duck,Show exactly 4 ducks in a clear forest scene.,3,4,5,,4,Look at the objects.,Count each duck one by one.,The total is 4.,The correct answer is 4.,Point to each duck once as you count.,Yes,Both,25,Yes,Let's solve it together. Look at the objects. Count each duck one by one. The total is 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q004,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Counting review,Review counting objects up to 10.,Easy,Multiple Choice,Count the balls. How many balls are there?,ball,Show exactly 5 balls in a clear forest scene.,4,5,6,,5,Look at the objects.,Count each ball one by one.,The total is 5.,The correct answer is 5.,Point to each ball once as you count.,Yes,Both,25,Yes,Let's solve it together. Look at the objects. Count each ball one by one. The total is 5.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q005,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Counting review,Review counting objects up to 10.,Easy,Multiple Choice,Count the flowers. How many flowers are there?,flower,Show exactly 6 flowers in a clear forest scene.,5,6,7,,6,Look at the objects.,Count each flower one by one.,The total is 6.,The correct answer is 6.,Point to each flower once as you count.,Yes,Both,25,Yes,Let's solve it together. Look at the objects. Count each flower one by one. The total is 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q006,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Counting review,Review counting objects up to 10.,Medium,Multiple Choice,Count the oranges. How many oranges are there?,orange,Show exactly 7 oranges in a clear forest scene.,6,7,8,,7,Look at the objects.,Count each orange one by one.,The total is 7.,The correct answer is 7.,Point to each orange once as you count.,Yes,Both,25,Yes,Let's solve it together. Look at the objects. Count each orange one by one. The total is 7.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q007,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Counting review,Review counting objects up to 10.,Medium,Multiple Choice,Count the fish. How many fish are there?,fish,Show exactly 8 fish in a clear forest scene.,7,8,9,,8,Look at the objects.,Count each fish one by one.,The total is 8.,The correct answer is 8.,Point to each fish once as you count.,Yes,Both,25,Yes,Let's solve it together. Look at the objects. Count each fish one by one. The total is 8.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q008,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Counting review,Review counting objects up to 10.,Medium,Multiple Choice,Count the leaves. How many leaves are there?,leaf,Show exactly 9 leaves in a clear forest scene.,8,9,10,,9,Look at the objects.,Count each leaf one by one.,The total is 9.,The correct answer is 9.,Point to each leaf once as you count.,Yes,Both,25,Yes,Let's solve it together. Look at the objects. Count each leaf one by one. The total is 9.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q009,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Addition review,Review addition within 10.,Easy,Multiple Choice,1 apple plus 1 more apples. How many apples altogether?,apple,"Show 1 apple + 1 apple = 2. Use a plus sign, never 'or'.",1,2,3,,2,Start with 1 apple.,Add 1 more apples.,Count all: 2.,The correct answer is 2.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 1 apple. Add 1 more apples. Count all: 2.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q010,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Addition review,Review addition within 10.,Easy,Multiple Choice,2 stars plus 1 more stars. How many stars altogether?,star,"Show 2 stars + 1 star = 3. Use a plus sign, never 'or'.",2,3,4,,3,Start with 2 stars.,Add 1 more stars.,Count all: 3.,The correct answer is 3.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 2 stars. Add 1 more stars. Count all: 3.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q011,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Addition review,Review addition within 10.,Easy,Multiple Choice,2 oranges plus 2 more oranges. How many oranges altogether?,orange,"Show 2 oranges + 2 oranges = 4. Use a plus sign, never 'or'.",3,4,5,,4,Start with 2 oranges.,Add 2 more oranges.,Count all: 4.,The correct answer is 4.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 2 oranges. Add 2 more oranges. Count all: 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q012,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Addition review,Review addition within 10.,Easy,Multiple Choice,3 fish plus 1 more fish. How many fish altogether?,fish,"Show 3 fish + 1 fish = 4. Use a plus sign, never 'or'.",3,4,5,,4,Start with 3 fish.,Add 1 more fish.,Count all: 4.,The correct answer is 4.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 3 fish. Add 1 more fish. Count all: 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L08-Q013,v1.0,Approved,Mathematics,Year 1,Forest World,Level 08,Review,Addition review,Review addition within 10.,Easy,Multiple Choice,3 flowers plus 2 more flowers. How many flowers altogether?,flower,"Show 3 flowers + 2 flowers = 5. Use a plus sign, never 'or'.",4,5,6,,5,Start with 3 flowers.,Add 2 more flowers.,Count all: 5.,The correct answer is 5.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 3 flowers. Add 2 more flowers. Count all: 5.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
